Lugar;Espacialidade;COD IBGE;% da população em domicílios com água encanada (2010);% da população em domicílios com banheiro e água encanada (2010);% da população em domicílios com coleta de lixo (2010);% da população em domicílios com energia elétrica (2010);% da população em domicílios com densidade > 2 (2010)
Acrelândia (AC);Município;120001;93,87;55,29;97,44;94,56;41,61
Assis Brasil (AC);Município;120005;80,31;40,79;96,83;84,4;47
Brasiléia (AC);Município;120010;91,48;53,24;95,88;91,25;41,11
Bujari (AC);Município;120013;81,12;41,89;94,07;94,47;50,25
Capixaba (AC);Município;120017;86,19;30,45;95,43;93,98;48,48
Cruzeiro do Sul (AC);Município;120020;79,14;38,88;84,78;94,73;45
Epitaciolândia (AC);Município;120025;89,66;45,68;92,48;93,75;38,98
Feijó (AC);Município;120030;69,53;26,02;89,65;65,41;62,56
Jordão (AC);Município;120032;46,28;8,66;99,29;41,83;68,55
Mâncio Lima (AC);Município;120033;80,26;28,19;76,74;85,34;50,03
Manoel Urbano (AC);Município;120034;80,41;30,12;74,53;76,99;55,35
Marechal Thaumaturgo (AC);Município;120035;50,76;9,33;95,1;51,51;63,63
Plácido de Castro (AC);Município;120038;91,46;44,68;87,36;98,57;43,73
Porto Acre (AC);Município;120080;84,45;40,21;93,43;95,9;50,45
Porto Walter (AC);Município;120039;44,36;17,37;51,78;69,39;68,08
Rio Branco (AC);Município;120040;94,09;62,1;97,38;99,34;39,42
Rodrigues Alves (AC);Município;120042;71,48;10,89;95,36;89,56;57,15
Santa Rosa do Purus (AC);Município;120043;65,93;28,21;91,82;54,3;79,03
Senador Guiomard (AC);Município;120045;92,31;52,88;93,99;99,06;44,42
Sena Madureira (AC);Município;120050;82,48;36,48;91,77;82,95;52,76
Tarauacá (AC);Município;120060;60,4;19,3;84,42;70,47;64,5
Xapuri (AC);Município;120070;86,75;51,78;91,56;84,1;46,94
Água Branca (AL);Município;270010;61,78;44,6;97,94;97,12;40,81
Anadia (AL);Município;270020;61,62;71,98;99,15;99,76;33,99
Arapiraca (AL);Município;270030;94,68;82,16;97,38;99,56;30,83
Atalaia (AL);Município;270040;82,49;57,89;95,31;99,06;41,43
Barra de Santo Antônio (AL);Município;270050;91,16;86,94;93,66;99,47;48,77
Barra de São Miguel (AL);Município;270060;90,49;90,74;100;99,1;42,5
Batalha (AL);Município;270070;70,93;58,61;88,09;98,93;41,21
Belém (AL);Município;270080;62,16;46,94;92,54;98,89;27,58
Belo Monte (AL);Município;270090;40,13;36,42;99,16;97,68;39,22
Boca da Mata (AL);Município;270100;87,43;76,04;97,13;99,89;34,89
Branquinha (AL);Município;270110;81,68;65,8;97,83;98,08;38,45
Cacimbinhas (AL);Município;270120;21,47;18,47;87,36;98,3;32,14
Cajueiro (AL);Município;270130;90,12;78,86;87,48;99,15;45,57
Campestre (AL);Município;270135;85,25;77,19;87,92;99,54;39,65
Campo Alegre (AL);Município;270140;66,83;80,91;99,02;99,66;52,14
Campo Grande (AL);Município;270150;84,83;73,52;98,87;97,72;35,44
Canapi (AL);Município;270160;28,02;18,2;93,07;96,97;44,21
Capela (AL);Município;270170;84,92;60,06;98,65;98,95;46,1
Carneiros (AL);Município;270180;60,09;42,66;96,43;97,94;42,75
Chã Preta (AL);Município;270190;91,37;71,59;95;97,51;41,04
Coité do Nóia (AL);Município;270200;43,61;38,49;91,55;99,75;28,91
Colônia Leopoldina (AL);Município;270210;74,62;64,51;99,06;97,18;39,98
Coqueiro Seco (AL);Município;270220;89,53;79,9;94,13;99,46;34,56
Coruripe (AL);Município;270230;91,44;87,54;91,07;97,9;35,4
Craíbas (AL);Município;270235;63,6;39,78;99,87;98,63;39,01
Delmiro Gouveia (AL);Município;270240;90,47;80,85;96,91;99,13;34,81
Dois Riachos (AL);Município;270250;34,56;33,74;96,42;99,28;36,1
Estrela de Alagoas (AL);Município;270255;33,69;22,12;96,2;98,58;28,67
Feira Grande (AL);Município;270260;77,36;56,05;98,47;98,88;33,48
Feliz Deserto (AL);Município;270270;32,7;93,44;91,71;96,14;33,33
Flexeiras (AL);Município;270280;66,76;64,19;99,57;98,07;46,46
Girau do Ponciano (AL);Município;270290;50,24;39,14;98,28;98,76;45,05
Ibateguara (AL);Município;270300;82,28;78,18;99,65;98,75;38,2
Igaci (AL);Município;270310;48,49;38,98;97,32;98,06;31,3
Igreja Nova (AL);Município;270320;80,07;63,48;100;99,72;37,22
Inhapi (AL);Município;270330;42,16;24,53;97,28;92,54;45,93
Jacaré dos Homens (AL);Município;270340;81,42;72,81;98,51;98,99;40,42
Jacuípe (AL);Município;270350;68,66;57,8;99,12;97,97;41,66
Japaratinga (AL);Município;270360;79,03;61,2;85,38;97,3;44,12
Jaramataia (AL);Município;270370;64,73;32,91;97,27;98,55;42,52
Jequiá da Praia (AL);Município;270375;86,93;71,45;95,08;98,44;39,33
Joaquim Gomes (AL);Município;270380;73,62;63,16;92,08;95,75;50,05
Jundiá (AL);Município;270390;77,94;50,2;96,39;98,92;38,26
Junqueiro (AL);Município;270400;91,27;72,57;96,84;99,07;31,21
Lagoa da Canoa (AL);Município;270410;75,33;55,78;95,59;98,56;36,29
Limoeiro de Anadia (AL);Município;270420;71,72;54,66;100;98,89;35,09
Maceió (AL);Município;270430;80,17;94,91;97,74;99,9;28,3
Major Isidoro (AL);Município;270440;43,93;35,1;98,84;99,08;34,3
Maragogi (AL);Município;270450;75,44;61,02;89,56;98,47;43,75
Maravilha (AL);Município;270460;46,19;39,63;95,64;98,08;43,76
Marechal Deodoro (AL);Município;270470;97,25;85,81;94,74;98,79;40,59
Maribondo (AL);Município;270480;64,59;64,45;99,74;98,84;27,96
Mar Vermelho (AL);Município;270490;74,28;82,02;97;98,48;26,96
Mata Grande (AL);Município;270500;43,05;31,89;98,55;96,24;43,66
Matriz de Camaragibe (AL);Município;270510;84,98;74,56;92,81;99,49;42,1
Messias (AL);Município;270520;90,4;86,95;93,36;99,26;39,97
Minador do Negrão (AL);Município;270530;32,95;32,74;95,44;99,72;25,12
Monteirópolis (AL);Município;270540;61,08;51,68;99,42;99,7;42,67
Murici (AL);Município;270550;76,92;64,83;90,09;93;46,53
Novo Lino (AL);Município;270560;73,43;47;67,04;97,98;42,5
Olho D'Água das Flores (AL);Município;270570;84,24;73,56;99,59;99,04;32,32
Olho D'Água do Casado (AL);Município;270580;69,65;55,06;96,27;94,6;42,52
Olho D'Água Grande (AL);Município;270590;50,65;51,18;89,39;97,34;41,75
Olivença (AL);Município;270600;45,1;37,9;98,45;99,43;36,5
Ouro Branco (AL);Município;270610;37,82;24,91;87,28;99,14;40,06
Palestina (AL);Município;270620;82,31;74,27;95,62;99,26;38,12
Palmeira dos Índios (AL);Município;270630;80,3;68,95;91,63;99,33;25,86
Pão de Açúcar (AL);Município;270640;76,86;71,05;99,91;98,49;40,76
Pariconha (AL);Município;270642;61,52;48,51;93,85;95,91;43,23
Paripueira (AL);Município;270644;92,47;81,47;91,29;98,11;43,76
Passo de Camaragibe (AL);Município;270650;75,59;58,66;97,3;99,08;42,88
Paulo Jacinto (AL);Município;270660;84,47;81,59;99,42;99,55;35,21
Penedo (AL);Município;270670;95,06;88,71;99,27;98,6;31,96
Piaçabuçu (AL);Município;270680;84,15;77,49;99,03;97,95;39,32
Pilar (AL);Município;270690;90,01;91,88;98,88;99,46;39,41
Pindoba (AL);Município;270700;85,15;72,06;98,08;96,04;34,32
Piranhas (AL);Município;270710;71,91;62,52;98,18;95,59;41,42
Poço das Trincheiras (AL);Município;270720;23,79;19,76;98,71;97,66;48,34
Porto Calvo (AL);Município;270730;86,25;74,47;96,8;98,45;40,57
Porto de Pedras (AL);Município;270740;72,2;56,44;66,93;97,19;43,09
Porto Real do Colégio (AL);Município;270750;71,29;75,12;100;99,65;42,78
Quebrangulo (AL);Município;270760;76,59;68,08;99,28;95,21;36,55
Rio Largo (AL);Município;270770;77,58;89,61;88,92;99,38;33,46
Roteiro (AL);Município;270780;87,83;70,77;75,11;99,08;46,36
Santa Luzia do Norte (AL);Município;270790;71,34;87,69;95,39;98,92;39,11
Santana do Ipanema (AL);Município;270800;71,05;61,64;95,79;98,4;38,43
Santana do Mundaú (AL);Município;270810;78,5;74,33;91,2;98,23;39,04
São Brás (AL);Município;270820;89,74;82,62;93,64;98,61;33,62
São José da Laje (AL);Município;270830;87,25;71,08;84,55;98,64;39,92
São José da Tapera (AL);Município;270840;48,62;39,76;96,59;98,06;46,06
São Luís do Quitunde (AL);Município;270850;52,47;57,96;85,84;98,16;47,42
São Miguel dos Campos (AL);Município;270860;96,16;95,41;99,31;99,54;35,93
São Miguel dos Milagres (AL);Município;270870;91,15;82,67;68,18;98,76;31,37
São Sebastião (AL);Município;270880;78,03;49,41;96,62;99,63;34,05
Satuba (AL);Município;270890;88,46;92,07;97,89;99,57;35,29
Senador Rui Palmeira (AL);Município;270895;25,57;23,07;99,06;98,81;48,73
Tanque D'Arca (AL);Município;270900;68,01;55,57;99,71;98,38;30,5
Taquarana (AL);Município;270910;74,19;54,13;95,94;99,17;26,45
Teotônio Vilela (AL);Município;270915;83,78;80,75;98,38;99,22;42,32
Traipu (AL);Município;270920;37,18;29,09;82,18;94,9;49,33
União dos Palmares (AL);Município;270930;90,57;83,97;97,46;99,15;35,87
Viçosa (AL);Município;270940;83,52;84,2;97,4;98,73;34,81
Alvarães (AM);Município;130002;48,93;25,53;88,14;94,36;72,73
Amaturá (AM);Município;130006;66,65;37,25;73,1;77,53;69,07
Anamã (AM);Município;130008;58,47;46,79;96,3;93,25;67,42
Anori (AM);Município;130010;66,86;52,94;75,11;88,44;65,45
Apuí (AM);Município;130014;86,73;46,5;91,35;82,12;44,68
Atalaia do Norte (AM);Município;130020;36,29;17,52;50,61;60,84;69,88
Autazes (AM);Município;130030;57,01;24,55;90,34;81,35;67,07
Barcelos (AM);Município;130040;49,81;37,94;92,93;75,46;72,88
Barreirinha (AM);Município;130050;55,14;35,69;67,93;78,85;74,59
Benjamin Constant (AM);Município;130060;53,48;22,34;76,16;86,36;71,69
Beruri (AM);Município;130063;54,61;21,95;76,23;83,61;74,68
Boa Vista do Ramos (AM);Município;130068;58,8;36,65;88,32;77,04;75,22
Boca do Acre (AM);Município;130070;67,42;28,18;74,81;83,51;51,55
Borba (AM);Município;130080;54,65;30,97;95,38;81,19;74,85
Caapiranga (AM);Município;130083;29,69;43,17;83,59;91,4;65,16
Canutama (AM);Município;130090;73,71;53,11;72,04;79,38;51,74
Carauari (AM);Município;130100;64,62;31,13;91,3;92,57;59,13
Careiro (AM);Município;130110;56,5;32,3;98,47;88,45;68,87
Careiro da Várzea (AM);Município;130115;14,95;16,07;88,71;88,19;49,87
Coari (AM);Município;130120;32,29;51,77;85,17;88,37;65,54
Codajás (AM);Município;130130;63,71;47,59;88,13;92,78;68,04
Eirunepé (AM);Município;130140;52,29;23,75;45,84;82,73;53,4
Envira (AM);Município;130150;44,82;24,55;91,75;73,34;55,43
Fonte Boa (AM);Município;130160;67,64;31,25;66,57;88,32;72,65
Guajará (AM);Município;130165;62,11;15,92;78,49;66,5;66,36
Humaitá (AM);Município;130170;77,32;58,58;91,88;90,73;56,12
Ipixuna (AM);Município;130180;41,52;15,3;74,46;66,44;68,8
Iranduba (AM);Município;130185;70,95;55,44;91,96;94,68;62,14
Itacoatiara (AM);Município;130190;78,88;62,11;97,62;92,63;59,14
Itamarati (AM);Município;130195;52,1;19,03;52,8;69,27;59,27
Itapiranga (AM);Município;130200;82,78;48,43;91,65;89,43;61,75
Japurá (AM);Município;130210;48,06;31,51;43,83;86,57;73,99
Juruá (AM);Município;130220;47,97;27,35;77,56;89,02;67,17
Jutaí (AM);Município;130230;63,7;14,65;20,16;85,11;77,25
Lábrea (AM);Município;130240;48,22;41,87;81,31;79,79;59,85
Manacapuru (AM);Município;130250;70,31;55,6;93,78;90,08;64,38
Manaquiri (AM);Município;130255;41,09;31,34;97,6;75,21;66,25
Manaus (AM);Município;130260;89,65;83,55;98,29;99,63;50,19
Manicoré (AM);Município;130270;61,74;30,63;90,5;83,5;67,24
