Município	Cap I	Total
110001 Alta Floresta D'Oeste	6	6
110037 Alto Alegre dos Parecis	1	1
110040 Alto Paraíso	3	3
110034 Alvorada D'Oeste	3	3
110002 Ariquemes	24	24
110045 Buritis	6	6
110060 Cacaulândia	2	2
110004 Cacoal	14	14
110070 Campo Novo de Rondônia	1	1
110080 Candeias do Jamari	3	3
110090 Castanheiras	1	1
110092 Chupinguaia	2	2
110006 Colorado do Oeste	2	2
110007 Corumbiara	1	1
110008 Costa Marques	2	2
110094 Cujubim	4	4
110009 Espigão D'Oeste	1	1
110100 Governador Jorge Teixeira	1	1
110010 Guajará-Mirim	8	8
110110 Itapuã do Oeste	2	2
110011 Jaru	12	12
110012 Ji-Paraná	25	25
110013 Machadinho D'Oeste	5	5
110140 Monte Negro	3	3
110014 Nova Brasilândia D'Oeste	1	1
110033 Nova Mamoré	5	5
110050 Novo Horizonte do Oeste	3	3
110015 Ouro Preto do Oeste	13	13
110018 Pimenta Bueno	4	4
110020 Porto Velho	153	153
110025 Presidente Médici	3	3
110147 Primavera de Rondônia	2	2
110028 Rolim de Moura	12	12
110029 Santa Luzia D'Oeste	1	1
110149 São Francisco do Guaporé	1	1
110032 São Miguel do Guaporé	1	1
110160 Theobroma	1	1
110170 Urupá	1	1
110175 Vale do Anari	2	2
110180 Vale do Paraíso	1	1
110030 Vilhena	11	11
120001 Acrelândia	1	1
120005 Assis Brasil	1	1
120013 Bujari	1	1
120017 Capixaba	1	1
120020 Cruzeiro do Sul	18	18
120025 Epitaciolândia	4	4
120030 Feijó	4	4
120032 Jordão	1	1
120033 Mâncio Lima	2	2
120034 Manoel Urbano	4	4
120035 Marechal Thaumaturgo	3	3
120038 Plácido de Castro	5	5
120080 Porto Acre	3	3
120039 Porto Walter	1	1
120040 Rio Branco	107	107
120042 Rodrigues Alves	3	3
120043 Santa Rosa do Purus	4	4
120050 Sena Madureira	7	7
120045 Senador Guiomard	1	1
120060 Tarauacá	8	8
120070 Xapuri	1	1
120000 Município ignorado - AC	1	1
130002 Alvarães	3	3
130006 Amaturá	1	1
130008 Anamã	3	3
130020 Atalaia do Norte	6	6
130030 Autazes	2	2
130040 Barcelos	7	7
130050 Barreirinha	7	7
130060 Benjamin Constant	12	12
130063 Beruri	3	3
130070 Boca do Acre	5	5
130080 Borba	3	3
130083 Caapiranga	1	1
130090 Canutama	3	3
130100 Carauari	2	2
130110 Careiro	3	3
130115 Careiro da Várzea	2	2
130120 Coari	22	22
130130 Codajás	3	3
130140 Eirunepé	11	11
130150 Envira	4	4
130160 Fonte Boa	3	3
130165 Guajará	2	2
130170 Humaitá	9	9
130180 Ipixuna	1	1
130185 Iranduba	15	15
130190 Itacoatiara	20	20
130200 Itapiranga	1	1
130220 Juruá	1	1
130230 Jutaí	6	6
130240 Lábrea	10	10
130250 Manacapuru	19	19
130255 Manaquiri	2	2
130260 Manaus	619	619
130270 Manicoré	9	9
130280 Maraã	2	2
130290 Maués	12	12
130300 Nhamundá	1	1
130310 Nova Olinda do Norte	3	3
130320 Novo Airão	4	4
